Image scenario, Box Id, detector type , descriptor type, ttc_lidar, ttc_camera, ttc abs_diff, KPTMAtch_NUM, NUM_lidar_points
1,5,SHITOMASI,BRIEF,12.5156,13.7003,1.18472,77,338
2,3,SHITOMASI,BRIEF,12.6142,14.1157,1.5015,85,305
3,5,SHITOMASI,BRIEF,14.091,12.095,1.99602,93,321
4,6,SHITOMASI,BRIEF,16.6894,12.5351,4.1543,85,319
5,5,SHITOMASI,BRIEF,15.7465,12.9056,2.84094,81,340
6,6,SHITOMASI,BRIEF,12.7835,15.3516,2.56814,79,345
7,4,SHITOMASI,BRIEF,11.9844,13.5704,1.58606,92,315
8,5,SHITOMASI,BRIEF,13.1241,12.5599,0.564249,94,307
9,4,SHITOMASI,BRIEF,13.0241,11.5592,1.46495,89,302
10,4,SHITOMASI,BRIEF,11.1746,13.8326,2.65792,84,278
11,4,SHITOMASI,BRIEF,12.8086,11.0391,1.76954,78,300
12,4,SHITOMASI,BRIEF,8.95978,12.0542,3.09446,96,300
13,1,SHITOMASI,BRIEF,9.96439,11.2305,1.26606,99,314
14,1,SHITOMASI,BRIEF,9.59863,12.7285,3.1299,89,305
15,1,SHITOMASI,BRIEF,8.52157,11.7306,3.20907,89,286
16,1,SHITOMASI,BRIEF,9.51552,10.6857,1.17014,92,288
17,1,SHITOMASI,BRIEF,9.61241,11.4597,1.84731,87,273
18,1,SHITOMASI,BRIEF,8.3988,9.65232,1.25351,93,295
1,5,SHITOMASI,BRISK,12.5156,12.6512,0.135614,69,338
2,3,SHITOMASI,BRISK,12.6142,13.6589,1.04462,67,305
3,5,SHITOMASI,BRISK,14.091,12.1,1.99101,66,321
4,6,SHITOMASI,BRISK,16.6894,12.7779,3.91152,69,319
5,5,SHITOMASI,BRISK,15.7465,12.2642,3.48239,71,340
6,6,SHITOMASI,BRISK,12.7835,13.8952,1.11174,69,345
7,4,SHITOMASI,BRISK,11.9844,12.2504,0.266001,75,315
8,5,SHITOMASI,BRISK,13.1241,13.2117,0.0875611,78,307
9,4,SHITOMASI,BRISK,13.0241,11.2183,1.80587,74,302
10,4,SHITOMASI,BRISK,11.1746,13.6581,2.4835,72,278
11,4,SHITOMASI,BRISK,12.8086,11.0543,1.75426,64,300
12,4,SHITOMASI,BRISK,8.95978,11.6205,2.66069,84,300
13,1,SHITOMASI,BRISK,9.96439,11.2262,1.26176,84,314
14,1,SHITOMASI,BRISK,9.59863,11.342,1.74338,76,305
15,1,SHITOMASI,BRISK,8.52157,10.2547,1.73317,71,286
16,1,SHITOMASI,BRISK,9.51552,10.4477,0.932186,73,288
17,1,SHITOMASI,BRISK,9.61241,11.0839,1.47153,72,273
18,1,SHITOMASI,BRISK,8.3988,8.93355,0.534751,77,295
1,5,SHITOMASI,ORB,12.5156,13.6535,1.13795,79,338
2,3,SHITOMASI,ORB,12.6142,13.3121,0.697895,82,305
3,5,SHITOMASI,ORB,14.091,11.8924,2.19864,84,321
4,6,SHITOMASI,ORB,16.6894,12.1046,4.58474,88,319
5,5,SHITOMASI,ORB,15.7465,12.7503,2.99628,86,340
6,6,SHITOMASI,ORB,12.7835,15.1561,2.37256,85,345
7,4,SHITOMASI,ORB,11.9844,11.7494,0.234999,91,315
8,5,SHITOMASI,ORB,13.1241,12.2642,0.859962,93,307
9,4,SHITOMASI,ORB,13.0241,11.3273,1.69685,85,302
10,4,SHITOMASI,ORB,11.1746,13.2049,2.03026,81,278
11,4,SHITOMASI,ORB,12.8086,11.0036,1.80498,81,300
12,4,SHITOMASI,ORB,8.95978,11.5372,2.57745,91,300
13,1,SHITOMASI,ORB,9.96439,11.6105,1.64609,97,314
14,1,SHITOMASI,ORB,9.59863,11.8681,2.26945,82,305
15,1,SHITOMASI,ORB,8.52157,10.4388,1.91725,80,286
16,1,SHITOMASI,ORB,9.51552,11.1729,1.65741,87,288
17,1,SHITOMASI,ORB,9.61241,11.0358,1.42341,90,273
18,1,SHITOMASI,ORB,8.3988,9.88916,1.49036,92,295
1,5,SHITOMASI,FREAK,12.5156,14.1064,1.59076,68,338
2,3,SHITOMASI,FREAK,12.6142,13.3275,0.713304,65,305
3,5,SHITOMASI,FREAK,14.091,11.4013,2.68971,68,321
4,6,SHITOMASI,FREAK,16.6894,13.0422,3.64719,73,319
5,5,SHITOMASI,FREAK,15.7465,12.8177,2.92884,75,340
6,6,SHITOMASI,FREAK,12.7835,13.5266,0.743077,71,345
7,4,SHITOMASI,FREAK,11.9844,11.6512,0.333191,82,315
8,5,SHITOMASI,FREAK,13.1241,12.0523,1.07177,76,307
9,4,SHITOMASI,FREAK,13.0241,11.5628,1.46133,71,302
10,4,SHITOMASI,FREAK,11.1746,12.9926,1.81794,70,278
11,4,SHITOMASI,FREAK,12.8086,11.2395,1.56912,64,300
12,4,SHITOMASI,FREAK,8.95978,11.848,2.88823,86,300
13,1,SHITOMASI,FREAK,9.96439,11.8687,1.90436,80,314
14,1,SHITOMASI,FREAK,9.59863,12.7,3.10138,78,305
15,1,SHITOMASI,FREAK,8.52157,10.0418,1.52019,72,286
16,1,SHITOMASI,FREAK,9.51552,10.8903,1.37473,76,288
17,1,SHITOMASI,FREAK,9.61241,11.1201,1.50767,76,273
18,1,SHITOMASI,FREAK,8.3988,9.64602,1.24721,79,295
1,5,SHITOMASI,SIFT,12.5156,13.9019,1.38632,76,338
2,3,SHITOMASI,SIFT,12.6142,14.5407,1.92649,88,305
3,5,SHITOMASI,SIFT,14.091,12.4903,1.60076,90,321
4,6,SHITOMASI,SIFT,16.6894,13.0192,3.67023,86,319
5,5,SHITOMASI,SIFT,15.7465,12.8536,2.89295,93,340
6,6,SHITOMASI,SIFT,12.7835,13.9921,1.20859,85,345
7,4,SHITOMASI,SIFT,11.9844,13.0334,1.0491,93,315
8,5,SHITOMASI,SIFT,13.1241,13.7532,0.629105,98,307
9,4,SHITOMASI,SIFT,13.0241,12.0414,0.982693,88,302
10,4,SHITOMASI,SIFT,11.1746,13.3762,2.20153,90,278
11,4,SHITOMASI,SIFT,12.8086,11.5546,1.25397,84,300
12,4,SHITOMASI,SIFT,8.95978,11.5191,2.55935,95,300
13,1,SHITOMASI,SIFT,9.96439,11.4066,1.44222,101,314
14,1,SHITOMASI,SIFT,9.59863,12.6919,3.09328,94,305
15,1,SHITOMASI,SIFT,8.52157,12.0506,3.52906,87,286
16,1,SHITOMASI,SIFT,9.51552,11.1816,1.6661,92,288
17,1,SHITOMASI,SIFT,9.61241,11.097,1.48461,92,273
18,1,SHITOMASI,SIFT,8.3988,10.0254,1.62664,92,295
1,5,HARRIS,BRIEF,12.5156,10.9082,1.60738,9,338
2,3,HARRIS,BRIEF,12.6142,11.0081,1.6061,9,305
3,5,HARRIS,BRIEF,14.091,-11.4731,25.5642,10,321
4,6,HARRIS,BRIEF,16.6894,11.5792,5.11017,11,319
5,5,HARRIS,BRIEF,15.7465,13.6432,2.10334,20,340
6,6,HARRIS,BRIEF,12.7835,15.2483,2.46478,14,345
7,4,HARRIS,BRIEF,11.9844,14.2744,2.29005,20,315
8,5,HARRIS,BRIEF,13.1241,17.6204,4.49626,17,307
9,4,HARRIS,BRIEF,13.0241,3.30058,9.72354,9,302
10,4,HARRIS,BRIEF,11.1746,-13.4405,24.6152,11,278
11,4,HARRIS,BRIEF,12.8086,11.7414,1.06717,13,300
12,4,HARRIS,BRIEF,8.95978,11.6948,2.73503,13,300
13,1,HARRIS,BRIEF,9.96439,13.4327,3.46833,14,314
14,1,HARRIS,BRIEF,9.59863,5.6061,3.99253,11,305
15,1,HARRIS,BRIEF,8.52157,-13.6263,22.1478,11,286
16,1,HARRIS,BRIEF,9.51552,6.7641,2.75143,21,288
17,1,HARRIS,BRIEF,9.61241,12.5848,2.97243,10,273
18,1,HARRIS,BRIEF,8.3988,-inf,inf,5,295
1,5,HARRIS,BRISK,12.5156,10.9082,1.60738,7,338
2,3,HARRIS,BRISK,12.6142,11.0081,1.6061,9,305
3,5,HARRIS,BRISK,14.091,-18.2644,32.3554,9,321
4,6,HARRIS,BRISK,16.6894,11.5792,5.11017,11,319
5,5,HARRIS,BRISK,15.7465,44.9166,29.1701,14,340
6,6,HARRIS,BRISK,12.7835,12.9945,0.210998,9,345
7,4,HARRIS,BRISK,11.9844,12.3971,0.412773,16,315
8,5,HARRIS,BRISK,13.1241,17.6204,4.49626,14,307
9,4,HARRIS,BRISK,13.0241,nan,nan,7,302
10,4,HARRIS,BRISK,11.1746,-inf,inf,6,278
11,4,HARRIS,BRISK,12.8086,11.7414,1.06717,12,300
12,4,HARRIS,BRISK,8.95978,11.6948,2.73503,9,300
13,1,HARRIS,BRISK,9.96439,284.161,274.197,13,314
14,1,HARRIS,BRISK,9.59863,5.66097,3.93766,11,305
15,1,HARRIS,BRISK,8.52157,-13.6263,22.1478,10,286
16,1,HARRIS,BRISK,9.51552,6.71705,2.79847,18,288
17,1,HARRIS,BRISK,9.61241,12.5848,2.97243,10,273
18,1,HARRIS,BRISK,8.3988,-inf,inf,6,295
1,5,HARRIS,ORB,12.5156,10.9082,1.60738,9,338
2,3,HARRIS,ORB,12.6142,63.8475,51.2332,10,305
3,5,HARRIS,ORB,14.091,-161.705,175.796,10,321
4,6,HARRIS,ORB,16.6894,11.5792,5.11017,11,319
5,5,HARRIS,ORB,15.7465,13.6432,2.10334,19,340
6,6,HARRIS,ORB,12.7835,13.6217,0.838214,12,345
7,4,HARRIS,ORB,11.9844,13.497,1.51263,22,315
8,5,HARRIS,ORB,13.1241,17.6204,4.49626,17,307
9,4,HARRIS,ORB,13.0241,3.18421,9.8399,11,302
10,4,HARRIS,ORB,11.1746,-inf,inf,9,278
11,4,HARRIS,ORB,12.8086,11.7414,1.06717,12,300
12,4,HARRIS,ORB,8.95978,11.6948,2.73503,12,300
13,1,HARRIS,ORB,9.96439,13.4327,3.46833,13,314
14,1,HARRIS,ORB,9.59863,5.66097,3.93766,11,305
15,1,HARRIS,ORB,8.52157,-13.6263,22.1478,11,286
16,1,HARRIS,ORB,9.51552,7.29175,2.22378,19,288
17,1,HARRIS,ORB,9.61241,12.5848,2.97243,9,273
18,1,HARRIS,ORB,8.3988,-inf,inf,7,295
1,5,HARRIS,FREAK,12.5156,9.74953,2.76607,8,338
2,3,HARRIS,FREAK,12.6142,11.0081,1.6061,9,305
3,5,HARRIS,FREAK,14.091,-10.295,24.386,7,321
4,6,HARRIS,FREAK,16.6894,11.7693,4.92006,9,319
5,5,HARRIS,FREAK,15.7465,13.6432,2.10334,15,340
6,6,HARRIS,FREAK,12.7835,15.8156,3.03215,11,345
7,4,HARRIS,FREAK,11.9844,12.2,0.215649,18,315
8,5,HARRIS,FREAK,13.1241,13.2352,0.111116,13,307
9,4,HARRIS,FREAK,13.0241,0.136149,12.888,9,302
10,4,HARRIS,FREAK,11.1746,10.2931,0.881533,7,278
11,4,HARRIS,FREAK,12.8086,11.1552,1.65344,13,300
12,4,HARRIS,FREAK,8.95978,11.6948,2.73503,10,300
13,1,HARRIS,FREAK,9.96439,13.4095,3.44511,11,314
14,1,HARRIS,FREAK,9.59863,0.071893,9.52674,8,305
15,1,HARRIS,FREAK,8.52157,-inf,inf,9,286
16,1,HARRIS,FREAK,9.51552,6.68702,2.8285,16,288
17,1,HARRIS,FREAK,9.61241,12.5848,2.97243,11,273
18,1,HARRIS,FREAK,8.3988,25.6763,17.2775,7,295
1,5,HARRIS,SIFT,12.5156,10.9082,1.60738,9,338
2,3,HARRIS,SIFT,12.6142,63.8475,51.2332,10,305
3,5,HARRIS,SIFT,14.091,-20.0948,34.1858,13,321
4,6,HARRIS,SIFT,16.6894,11.5792,5.11017,11,319
5,5,HARRIS,SIFT,15.7465,13.6432,2.10334,21,340
6,6,HARRIS,SIFT,12.7835,27.8744,15.0909,15,345
7,4,HARRIS,SIFT,11.9844,13.497,1.51263,21,315
8,5,HARRIS,SIFT,13.1241,-inf,inf,18,307
9,4,HARRIS,SIFT,13.0241,3.93864,9.08548,12,302
10,4,HARRIS,SIFT,11.1746,-13.4405,24.6152,10,278
11,4,HARRIS,SIFT,12.8086,11.7414,1.06717,13,300
12,4,HARRIS,SIFT,8.95978,11.6948,2.73503,12,300
13,1,HARRIS,SIFT,9.96439,13.4327,3.46833,13,314
14,1,HARRIS,SIFT,9.59863,5.66097,3.93766,12,305
15,1,HARRIS,SIFT,8.52157,-inf,inf,12,286
16,1,HARRIS,SIFT,9.51552,7.29175,2.22378,20,288
17,1,HARRIS,SIFT,9.61241,12.5848,2.97243,11,273
18,1,HARRIS,SIFT,8.3988,-inf,inf,6,295
1,5,FAST,BRIEF,12.5156,12.7503,0.234666,73,338
2,3,FAST,BRIEF,12.6142,13.3698,0.755568,77,305
3,5,FAST,BRIEF,14.091,14.2066,0.115622,76,321
4,6,FAST,BRIEF,16.6894,14.2161,2.47326,73,319
5,5,FAST,BRIEF,15.7465,3025.85,3010.1,76,340
6,6,FAST,BRIEF,12.7835,15.4893,2.70583,78,345
7,4,FAST,BRIEF,11.9844,14.9881,3.00371,76,315
8,5,FAST,BRIEF,13.1241,11.8145,1.30962,76,307
9,4,FAST,BRIEF,13.0241,11.8554,1.16868,78,302
10,4,FAST,BRIEF,11.1746,13.3709,2.19625,84,278
11,4,FAST,BRIEF,12.8086,13.1909,0.382281,75,300
12,4,FAST,BRIEF,8.95978,11.0543,2.09456,92,300
13,1,FAST,BRIEF,9.96439,11.8418,1.87743,96,314
14,1,FAST,BRIEF,9.59863,11.6638,2.06517,85,305
15,1,FAST,BRIEF,8.52157,13.2471,4.72556,82,286
16,1,FAST,BRIEF,9.51552,11.4823,1.96682,92,288
17,1,FAST,BRIEF,9.61241,9.35986,0.252559,87,273
18,1,FAST,BRIEF,8.3988,10.8356,2.43678,85,295
1,5,FAST,BRISK,12.5156,12.9018,0.386168,63,338
2,3,FAST,BRISK,12.6142,12.5319,0.0823479,64,305
3,5,FAST,BRISK,14.091,13.192,0.898996,76,321
4,6,FAST,BRISK,16.6894,13.8308,2.85858,69,319
5,5,FAST,BRISK,15.7465,-inf,inf,66,340
6,6,FAST,BRISK,12.7835,13.3994,0.615916,61,345
7,4,FAST,BRISK,11.9844,12.273,0.288622,66,315
8,5,FAST,BRISK,13.1241,10.7456,2.37854,70,307
9,4,FAST,BRISK,13.0241,11.8554,1.16868,72,302
10,4,FAST,BRISK,11.1746,13.3363,2.16166,72,278
11,4,FAST,BRISK,12.8086,12.6126,0.195953,61,300
12,4,FAST,BRISK,8.95978,11.9209,2.96114,85,300
13,1,FAST,BRISK,9.96439,11.9837,2.01929,77,314
14,1,FAST,BRISK,9.59863,11.2889,1.69026,76,305
15,1,FAST,BRISK,8.52157,11.3752,2.85364,67,286
16,1,FAST,BRISK,9.51552,12.7518,3.23632,73,288
17,1,FAST,BRISK,9.61241,9.60236,0.0100574,78,273
18,1,FAST,BRISK,8.3988,11.34,2.94123,74,295
1,5,FAST,ORB,12.5156,11.9,0.6156,74,338
2,3,FAST,ORB,12.6142,16.6081,3.99384,88,305
3,5,FAST,ORB,14.091,13.5765,0.514488,87,321
4,6,FAST,ORB,16.6894,14.1341,2.55531,81,319
5,5,FAST,ORB,15.7465,99.7643,84.0177,75,340
6,6,FAST,ORB,12.7835,13.1432,0.359705,81,345
7,4,FAST,ORB,11.9844,14.4569,2.47256,79,315
8,5,FAST,ORB,13.1241,11.5148,1.60937,83,307
9,4,FAST,ORB,13.0241,11.8265,1.19763,82,302
10,4,FAST,ORB,11.1746,13.5598,2.38514,84,278
11,4,FAST,ORB,12.8086,13.3649,0.556286,77,300
12,4,FAST,ORB,8.95978,11.297,2.33727,89,300
13,1,FAST,ORB,9.96439,12.5021,2.53769,96,314
14,1,FAST,ORB,9.59863,11.3057,1.7071,84,305
15,1,FAST,ORB,8.52157,11.1147,2.59318,81,286
16,1,FAST,ORB,9.51552,11.8304,2.31486,86,288
17,1,FAST,ORB,9.61241,9.14338,0.469034,90,273
18,1,FAST,ORB,8.3988,11.5571,3.15831,86,295
1,5,FAST,FREAK,12.5156,12.3423,0.173329,65,338
2,3,FAST,FREAK,12.6142,24.1261,11.5119,59,305
3,5,FAST,FREAK,14.091,13.0601,1.03089,73,321
4,6,FAST,FREAK,16.6894,12.8754,3.814,69,319
5,5,FAST,FREAK,15.7465,52.5313,36.7848,60,340
6,6,FAST,FREAK,12.7835,13.1432,0.359705,64,345
7,4,FAST,FREAK,11.9844,12.1221,0.13773,68,315
8,5,FAST,FREAK,13.1241,11.2,1.92412,66,307
9,4,FAST,FREAK,13.0241,12.3176,0.706565,70,302
10,4,FAST,FREAK,11.1746,12.9633,1.78868,71,278
11,4,FAST,FREAK,12.8086,12.8249,0.0163051,65,300
12,4,FAST,FREAK,8.95978,11.1732,2.21337,80,300
13,1,FAST,FREAK,9.96439,11.6118,1.64739,77,314
14,1,FAST,FREAK,9.59863,11.6247,2.02605,66,305
15,1,FAST,FREAK,8.52157,11.5246,3.00303,66,286
16,1,FAST,FREAK,9.51552,12.3511,2.83558,73,288
17,1,FAST,FREAK,9.61241,8.8157,0.796715,80,273
18,1,FAST,FREAK,8.3988,11.9757,3.57695,75,295
1,5,FAST,SIFT,12.5156,12.7196,0.204008,76,338
2,3,FAST,SIFT,12.6142,22.4987,9.88445,89,305
3,5,FAST,SIFT,14.091,14.4296,0.338609,85,321
4,6,FAST,SIFT,16.6894,15.4516,1.23782,81,319
5,5,FAST,SIFT,15.7465,2737.85,2722.1,83,340
6,6,FAST,SIFT,12.7835,12.9209,0.137427,84,345
7,4,FAST,SIFT,11.9844,14.3312,2.3468,83,315
8,5,FAST,SIFT,13.1241,13.0305,0.0936142,82,307
9,4,FAST,SIFT,13.0241,12.0075,1.01665,80,302
10,4,FAST,SIFT,11.1746,14.0405,2.86586,89,278
11,4,FAST,SIFT,12.8086,12.8024,0.00622649,81,300
12,4,FAST,SIFT,8.95978,11.777,2.81719,96,300
13,1,FAST,SIFT,9.96439,12.5127,2.54836,104,314
14,1,FAST,SIFT,9.59863,11.4982,1.89961,90,305
15,1,FAST,SIFT,8.52157,11.8542,3.3326,87,286
16,1,FAST,SIFT,9.51552,12.1113,2.59581,90,288
17,1,FAST,SIFT,9.61241,9.48037,0.132047,93,273
18,1,FAST,SIFT,8.3988,11.1896,2.79078,92,295
1,5,BRISK,BRIEF,12.5156,13.9354,1.41983,116,338
2,3,BRISK,BRIEF,12.6142,17.0718,4.45751,140,305
3,5,BRISK,BRIEF,14.091,14.5109,0.419917,156,321
4,6,BRISK,BRIEF,16.6894,19.4466,2.75721,130,319
5,5,BRISK,BRIEF,15.7465,16.6615,0.914907,124,340
6,6,BRISK,BRIEF,12.7835,20.9855,8.20198,119,345
7,4,BRISK,BRIEF,11.9844,18.0225,6.03819,143,315
8,5,BRISK,BRIEF,13.1241,21.075,7.95084,123,307
9,4,BRISK,BRIEF,13.0241,15.1317,2.10761,141,302
10,4,BRISK,BRIEF,11.1746,15.1064,3.93178,144,278
11,4,BRISK,BRIEF,12.8086,14.6439,1.83531,132,300
12,4,BRISK,BRIEF,8.95978,14.603,5.64322,161,300
13,1,BRISK,BRIEF,9.96439,15.5086,5.54419,152,314
14,1,BRISK,BRIEF,9.59863,11.5155,1.91685,161,305
15,1,BRISK,BRIEF,8.52157,12.975,4.45348,157,286
16,1,BRISK,BRIEF,9.51552,13.1313,3.61577,149,288
17,1,BRISK,BRIEF,9.61241,10.5274,0.914943,178,273
18,1,BRISK,BRIEF,8.3988,11.8071,3.4083,157,295
1,5,BRISK,BRISK,12.5156,13.4118,0.89624,111,338
2,3,BRISK,BRISK,12.6142,22.8728,10.2586,133,305
3,5,BRISK,BRISK,14.091,15.1327,1.04169,157,321
4,6,BRISK,BRISK,16.6894,16.7893,0.0998842,138,319
5,5,BRISK,BRISK,15.7465,28.4569,12.7104,112,340
6,6,BRISK,BRISK,12.7835,16.7515,3.96802,127,345
7,4,BRISK,BRISK,11.9844,18.3067,6.32239,139,315
8,5,BRISK,BRISK,13.1241,17.0406,3.91647,129,307
9,4,BRISK,BRISK,13.0241,15.2205,2.19636,134,302
10,4,BRISK,BRISK,11.1746,15.7626,4.58798,135,278
11,4,BRISK,BRISK,12.8086,13.7368,0.928207,137,300
12,4,BRISK,BRISK,8.95978,11.206,2.2462,162,300
13,1,BRISK,BRISK,9.96439,12.6466,2.68219,157,314
14,1,BRISK,BRISK,9.59863,13.2761,3.67743,149,305
15,1,BRISK,BRISK,8.52157,13.3204,4.79881,150,286
16,1,BRISK,BRISK,9.51552,11.5893,2.07376,141,288
17,1,BRISK,BRISK,9.61241,9.23048,0.381937,154,273
18,1,BRISK,BRISK,8.3988,11.2971,2.89833,167,295
1,5,BRISK,ORB,12.5156,14.1782,1.66258,115,338
2,3,BRISK,ORB,12.6142,16.8297,4.2155,134,305
3,5,BRISK,ORB,14.091,15.4132,1.32214,150,321
